hgnc_symbol,transcript_biotype
CFL1P1,processed_transcript
CFL1P1,transcribed_unprocessed_pseudogene
CROCCP3,processed_transcript
CROCCP3,transcribed_unprocessed_pseudogene
CROCCP3,retained_intron
DLG5-AS1,lncRNA
DLG5-AS1,retained_intron
DNM1P35,lncRNA
DPY19L1P1,unprocessed_pseudogene
EGFR-AS1,lncRNA
FAM182B,lncRNA
FBXL19-AS1,lncRNA
GNRHR2,processed_transcript
GNRHR2,transcribed_unitary_pseudogene
LGALS8-AS1,lncRNA
LINC00616,lncRNA
LINC00638,lncRNA
MEG3,lncRNA
MIR3125,miRNA
PRORSD1P,processed_transcript
PRORSD1P,transcribed_unitary_pseudogene
PVT1,lncRNA
RAMP2-AS1,lncRNA
RASAL2-AS1,lncRNA
SNORD112,snoRNA
SNORD114-10,snoRNA
SNORD114-14,snoRNA
TMEM51-AS1,lncRNA
